TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  8.0000E+00  5.0000E-01  0.0000E+00  9.7200E+00  0.0000E+00  5.7081E+00  0.0000E+00  1.0332E+00  0.0000E+00  1.0000E+00  9.7200E+00  6.3717E+00  0.0000E+00  0.0000E+00
  8.0000E+00  1.0000E+00  0.0000E+00  1.7700E+01  0.0000E+00  8.1771E+00  0.0000E+00  1.7119E+00  0.0000E+00  1.0000E+00  1.7700E+01  9.1678E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.0000E+00  0.0000E+00  7.3400E+00  0.0000E+00  8.9767E+00  0.0000E+00 -2.6802E-01  0.0000E+00  1.0000E+00  7.3400E+00  1.0138E+01  0.0000E+00  0.0000E+00
  8.0000E+00  4.0000E+00  0.0000E+00  4.9900E+00  0.0000E+00  5.6026E+00  0.0000E+00 -1.6074E-01  0.0000E+00  1.0000E+00  4.9900E+00  6.4152E+00  0.0000E+00  0.0000E+00
  8.0000E+00  6.0000E+00  0.0000E+00  6.1800E+00  0.0000E+00  8.8662E+00  0.0000E+00 -4.4537E-01  0.0000E+00  1.0000E+00  6.1800E+00  1.0059E+01  0.0000E+00  0.0000E+00
  8.0000E+00  8.0000E+00  0.0000E+00  4.5600E+00  0.0000E+00  1.0192E+01  0.0000E+00 -8.1229E-01  0.0000E+00  1.0000E+00  4.5600E+00  1.1587E+01  0.0000E+00  0.0000E+00
  8.0000E+00  1.2000E+01  0.0000E+00  5.4200E+00  0.0000E+00  4.4699E+00  0.0000E+00  3.1246E-01  0.0000E+00  1.0000E+00  5.4200E+00  5.1973E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  4.5757E-03  0.0000E+00  1.5908E+02  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  6.5700E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  6.5700E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  2.5000E-01  0.0000E+00  6.1100E+01  0.0000E+00  3.4638E+01  0.0000E+00  1.1230E+00  0.0000E+00  1.0000E+00  6.1100E+01  1.0753E+01  0.0000E+00  0.0000E+00
  9.0000E+00  5.0000E-01  0.0000E+00  1.5100E+02  0.0000E+00  5.4869E+01  0.0000E+00  2.5754E+00  0.0000E+00  1.0000E+00  1.5100E+02  1.7157E+01  0.0000E+00  0.0000E+00
  9.0000E+00  1.0000E+00  0.0000E+00  6.1800E+01  0.0000E+00  7.8231E+01  0.0000E+00 -3.0875E-01  0.0000E+00  1.0000E+00  6.1800E+01  2.4685E+01  0.0000E+00  0.0000E+00
  9.0000E+00  2.0000E+00  0.0000E+00  2.9100E+01  0.0000E+00  8.5209E+01  0.0000E+00 -9.6798E-01  0.0000E+00  1.0000E+00  2.9100E+01  2.7297E+01  0.0000E+00  0.0000E+00
  9.0000E+00  4.0000E+00  0.0000E+00  1.2200E+01  0.0000E+00  5.2402E+01  0.0000E+00 -1.1278E+00  0.0000E+00  1.0000E+00  1.2200E+01  1.7274E+01  0.0000E+00  0.0000E+00
  9.0000E+00  6.0000E+00  0.0000E+00  3.5300E+01  0.0000E+00  8.3775E+01  0.0000E+00 -8.5059E-01  0.0000E+00  1.0000E+00  3.5300E+01  2.7086E+01  0.0000E+00  0.0000E+00
  9.0000E+00  8.0000E+00  0.0000E+00  3.1900E+01  0.0000E+00  9.6076E+01  0.0000E+00 -9.8192E-01  0.0000E+00  1.0000E+00  3.1900E+01  3.1200E+01  0.0000E+00  0.0000E+00
  9.0000E+00  1.2000E+01  0.0000E+00  2.0000E+01  0.0000E+00  4.1126E+01  0.0000E+00 -7.5512E-01  0.0000E+00  1.0000E+00  2.0000E+01  1.3994E+01  0.0000E+00  0.0000E+00
  9.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  3.5523E-02  0.0000E+00  1.9221E+01  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  0.0000E+00  7.0500E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  0.0000E+00  7.0500E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  2.5000E-01  0.0000E+00  7.4900E+00  0.0000E+00  1.6476E+01  0.0000E+00 -8.0173E-01  0.0000E+00  1.0000E+00  7.4900E+00  1.1539E+01  0.0000E+00  0.0000E+00
