ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
86,4,.,0.2,0,3,.,.,1,10,1,1,4,0,28,1.4,1,.
87,0,280000,.,1,3,.,.,1,10,1,1,4,0,28,1.4,1,.
87,4,.,13.6,0,3,.,.,1,10,1,1,4,0,28,1.4,1,.
88,0,280000,.,1,3,.,.,1,10,1,1,6,0,28,1.4,1,.
88,6,.,16.1,0,3,.,.,1,10,1,1,6,0,28,1.4,1,.
89,0,280000,.,1,3,.,.,1,10,1,1,6,0,28,1.4,1,.
89,6,.,0.4,0,3,.,.,1,10,1,1,6,0,28,1.4,1,.
90,0,280000,.,1,3,.,.,1,10,1,1,6,0,28,1.4,1,.
90,6,.,0.6,0,3,.,.,1,10,1,1,6,0,28,1.4,1,.
91,0,280000,.,1,3,.,.,1,10,1,1,8,0,28,1.4,1,.
91,8,.,0.5,0,3,.,.,1,10,1,1,8,0,28,1.4,1,.
92,0,280000,.,1,3,.,.,1,10,1,1,8,0,28,1.4,1,.
92,8,.,0.6,0,3,.,.,1,10,1,1,8,0,28,1.4,1,.
93,0,280000,.,1,3,.,.,1,10,1,1,8,0,28,1.4,1,.
93,8,.,3.5,0,3,.,.,1,10,1,1,8,0,28,1.4,1,.
94,0,280000,.,1,3,.,.,1,10,1,1,12,0,28,1.4,1,.
94,12,.,0.4,0,3,.,.,1,10,1,1,12,0,28,1.4,1,.
95,0,280000,.,1,3,.,.,1,10,1,1,12,0,28,1.4,1,.
95,12,.,0.6,0,3,.,.,1,10,1,1,12,0,28,1.4,1,.
96,0,280000,.,1,3,.,.,1,10,1,1,12,0,28,1.4,1,.
96,12,.,6.8,0,3,.,.,1,10,1,1,12,0,28,1.4,1,.
97,0,280000,.,1,3,.,.,1,10,1,1,24,0,28,1.4,1,.
97,24,.,0.4,0,3,.,.,1,10,1,1,24,0,28,1.4,1,.
98,0,280000,.,1,3,.,.,1,10,1,1,24,0,28,1.4,1,.
98,24,.,2.2,0,3,.,.,1,10,1,1,24,0,28,1.4,1,.
99,0,280000,.,1,3,.,.,1,10,1,1,24,0,28,1.4,1,.
99,24,.,0.9,0,3,.,.,1,10,1,1,24,0,28,1.4,1,.
103,0,280000,.,1,1,.,.,1,10,2,1,0.25,0,28,1.4,1,-2
103,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
103,0.25,.,17.2,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
104,0,280000,.,1,1,.,.,1,10,2,1,0.25,0,28,1.4,1,-2
104,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
104,0.25,.,12.8,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
105,0,280000,.,1,1,.,.,1,10,2,1,0.25,0,28,1.4,1,-2
105,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
105,0.25,.,42.3,0,3,.,.,1,10,2,1,0.25,0,28,1.4,1,.
106,0,280000,.,1,1,.,.,1,10,2,1,0.5,0,28,1.4,1,-2
106,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
106,0.5,.,8.7,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
107,0,280000,.,1,1,.,.,1,10,2,1,0.5,0,28,1.4,1,-2
107,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
107,0.5,.,13.4,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
108,0,280000,.,1,1,.,.,1,10,2,1,0.5,0,28,1.4,1,-2
108,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
108,0.5,.,12.6,0,3,.,.,1,10,2,1,0.5,0,28,1.4,1,.
109,0,280000,.,1,1,.,.,1,10,2,1,1,0,28,1.4,1,-2
109,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
109,1,.,8.3,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
110,0,280000,.,1,1,.,.,1,10,2,1,1,0,28,1.4,1,-2
110,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
110,1,.,5.6,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
111,0,280000,.,1,1,.,.,1,10,2,1,1,0,28,1.4,1,-2
111,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
111,1,.,8.9,0,3,.,.,1,10,2,1,1,0,28,1.4,1,.
112,0,280000,.,1,1,.,.,1,10,2,1,2,0,28,1.4,1,-2
112,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
112,2,.,25.7,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
113,0,280000,.,1,1,.,.,1,10,2,1,2,0,28,1.4,1,-2
113,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
113,2,.,0.4,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
114,0,280000,.,1,1,.,.,1,10,2,1,2,0,28,1.4,1,-2
114,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
114,2,.,24,0,3,.,.,1,10,2,1,2,0,28,1.4,1,.
115,0,280000,.,1,1,.,.,1,10,2,1,4,0,28,1.4,1,-2
115,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
115,4,.,1.7,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
116,0,280000,.,1,1,.,.,1,10,2,1,4,0,28,1.4,1,-2
116,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
116,4,.,0.9,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
117,0,280000,.,1,1,.,.,1,10,2,1,4,0,28,1.4,1,-2
117,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
117,4,.,0.3,0,3,.,.,1,10,2,1,4,0,28,1.4,1,.
118,0,280000,.,1,1,.,.,1,10,2,1,6,0,28,1.4,1,-2
118,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
118,6,.,0.9,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
119,0,280000,.,1,1,.,.,1,10,2,1,6,0,28,1.4,1,-2
119,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
119,6,.,3,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
120,0,280000,.,1,1,.,.,1,10,2,1,6,0,28,1.4,1,-2
120,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
120,6,.,3.8,0,3,.,.,1,10,2,1,6,0,28,1.4,1,.
121,0,280000,.,1,1,.,.,1,10,2,1,8,0,28,1.4,1,-2
121,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
121,8,.,0.8,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
122,0,280000,.,1,1,.,.,1,10,2,1,8,0,28,1.4,1,-2
122,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
122,8,.,1.2,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
123,0,280000,.,1,1,.,.,1,10,2,1,8,0,28,1.4,1,-2
123,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
123,8,.,0.9,0,3,.,.,1,10,2,1,8,0,28,1.4,1,.
124,0,280000,.,1,1,.,.,1,10,2,1,12,0,28,1.4,1,-2
124,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
124,12,.,2.8,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
125,0,280000,.,1,1,.,.,1,10,2,1,12,0,28,1.4,1,-2
125,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
125,12,.,56.2,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
126,0,280000,.,1,1,.,.,1,10,2,1,12,0,28,1.4,1,-2
126,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
126,12,.,0.8,0,3,.,.,1,10,2,1,12,0,28,1.4,1,.
127,0,280000,.,1,1,.,.,1,10,2,1,24,0,28,1.4,1,-2
127,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
127,24,.,3.9,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
128,0,280000,.,1,1,.,.,1,10,2,1,24,0,28,1.4,1,-2
128,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
128,24,.,0.4,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
129,0,280000,.,1,1,.,.,1,10,2,1,24,0,28,1.4,1,-2
129,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
129,24,.,1.4,0,3,.,.,1,10,2,1,24,0,28,1.4,1,.
133,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.25,0,28,1.4,1,-2
133,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
133,0.25,.,79.8,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
134,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.25,0,28,1.4,1,-2
134,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
134,0.25,.,68.5,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
135,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.25,0,28,1.4,1,-2
135,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
135,0.25,.,68.2,0,3,.,.,1,25,2,1,0.25,0,28,1.4,1,.
136,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.5,0,28,1.4,1,-2
136,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
136,0.5,.,51,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
137,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.5,0,28,1.4,1,-2
137,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
137,0.5,.,33.7,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
138,0,7.00E+05,.,1,1,.,.,1,25,2,1,0.5,0,28,1.4,1,-2
138,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
138,0.5,.,4.6,0,3,.,.,1,25,2,1,0.5,0,28,1.4,1,.
139,0,7.00E+05,.,1,1,.,.,1,25,2,1,1,0,28,1.4,1,-2
139,0,.,0,0,3,.,.,1,25,2,1,1,0,28,1.4,1,.
139,1,.,114.8,0,3,.,.,1,25,2,1,1,0,28,1.4,1,.
140,0,7.00E+05,.,1,1,.,.,1,25,2,1,1,0,28,1.4,1,-2
140,0,.,0,0,3,.,.,1,25,2,1,1,0,28,1.4,1,.
140,1,.,17.8,0,3,.,.,1,25,2,1,1,0,28,1.4,1,.
141,0,7.00E+05,.,1,1,.,.,1,25,2,1,1,0,28,1.4,1,-2
